"","zcta","boro","pop_prc_ch","pov_pct_ch","hh_inc_med_ch","rent_gross_med_ch","norm_rental_ch","total_bach_degree_prc_ch","pop_race_asian_prc_ch","pop_race_black_prc_ch","pop_race_hisp_prc_ch","pop_race_white_prc_ch","avg_eviction_1000"
"26","10029","Manhattan","0.0226918606089086","0.0151379319177275","0.0811700720270469","0.112849162011173","0.0112133420853792","0.25060823252227","0.158537222901873","-0.0482459589018483","-0.0291020459283545","0.0603861198734494","2.47"
"27","10030","Manhattan","0.0264894075522992","0.0283344392833444","0.15072816878011","0.17478813559322","0.0461459812947351","0.152094970175467","-0.800924301924695","-0.0791458444976008","0.116189904802847","0.174348002956018","4.41"
"28","10031","Manhattan","0.0428649289859254","0.0421291746548308","0.171321525885559","0.174193548387097","0.0156770717864684","0.15095183201481","0.55577830761678","-0.14068505163011","-0.0918065305091607","0.25886718969423","2.67"
"29","10032","Manhattan","0.0242937406029912","0.025977366255144","0.138338505609931","0.144089732528041","0.000249085039303724","0.333222539665739","0.21750478709621","-0.207087348078799","-0.00818460459448766","0.239905448428367","2.68"
"30","10033","Manhattan","0.0614537082716658","0.0644703209315535","0.220420782746399","0.167785234899329","0.0102164692679517","0.18694549611558","-0.466787356582971","0.0983820543756447","-0.0131354399447773","0.0641500635285703","2.67"
"31","10034","Manhattan","0.067577965871543","0.0660520878272519","0.15439313284488","0.146456692913386","0.0237924383536688","-0.0707787728892712","0.35891725822079","0.10133167851066","-0.0315604691621302","0.0691162995262874","3.24"
"32","10035","Manhattan","0.0185771645082848","0.0131926121372032","0.0615065158241443","0.193627450980392","0.0396258926160685","0.110085023927896","0.21568481175566","0.066838785799253","-0.0748582775632826","-0.0275945949353317","3.45"
"33","10036","Manhattan","0.165810629745422","0.166257257704332","0.316881342909281","0.22940074906367","-0.0399883842324199","0.118828906801213","0.108869264468364","-0.0802517438037561","0.171255421043579","-0.0605099857478981","4.29"
"34","10037","Manhattan","0.192834214501511","0.195498423014432","0.00205107681532805","0.162112932604736","0.0563966201697682","0.0762702923354124","-0.274640442311066","-0.101197693416951","0.363995015706086","-0.128361022155981","6.04"
"35","10038","Manhattan","0.107538852028321","0.122739261492087","0.224597798475868","0.208759124087591","-0.0766164049351704","0.15030108326766","0.0409687578337503","0.161577103396093","-0.397184088261277","0.0324810711876318","1.02"
